Tempo (s)	Corrente (A)	Tensão (V)
0.499	5.36E-04	0.29
0.5	5.36E-04	0.28
0.501	5.36E-04	0.28
0.502	5.36E-04	0.28
0.503	5.36E-04	0.27
0.504	5.36E-04	0.27
0.505	5.36E-04	0.26
0.506	5.36E-04	0.25
0.507	5.36E-04	0.25
0.508	5.36E-04	0.23
0.509	5.36E-04	0.22
0.51	5.36E-04	0.21
0.511	5.36E-04	0.2
0.512	5.36E-04	0.19
0.513	5.36E-04	0.18
0.514	5.36E-04	0.17
0.515	5.36E-04	0.16
0.516	5.36E-04	0.15
0.517	5.36E-04	0.14
0.518	5.36E-04	0.13
0.519	5.36E-04	0.13
0.52	5.36E-04	0.13
0.521	5.36E-04	0.13
0.522	5.36E-04	0.13
0.523	5.36E-04	0.13
0.524	5.36E-04	0.14
0.525	5.36E-04	0.14
0.526	5.36E-04	0.14
0.527	5.36E-04	0.15
0.528	5.36E-04	0.15
0.529	5.36E-04	0.16
0.53	5.36E-04	0.16
0.531	5.36E-04	0.16
0.532	5.36E-04	0.16
